exp,lg,nm,pfm,sea
49.21473941181422,Bundesliga,SC Freiburg,7.785260588185777,12/13
43.789194140267284,Bundesliga,1. FC Nürnberg,5.387276447968001,12/13
50.18851403656831,Bundesliga,1. FSV Mainz 05,-3.247337565980064,12/13
42.646590937819035,Bundesliga,FC Augsburg,-5.764237996642571,12/13
38.96690231919341,Bundesliga,Fortuna Düsseldorf,-5.437490554487528,12/13
36.59908496677464,Bundesliga,SpVgg Greuther Fürth,-13.128496731480523,12/13
46.180549518402174,Serie A,Atalanta,-4.18054951840217,12/13
40.935867601248376,Serie A,Siena,-4.935867601248378,12/13
43.87610863375345,Serie A,Cagliari,3.1238913662465633,12/13
58.51838359684207,Serie A,Lazio,2.4816164031579238,12/13
48.171683844499896,Serie A,Catania,7.828316155500103,12/13
45.13783699988257,Serie A,Genoa,-7.137836999882584,12/13
42.420911865491966,Serie A,Chievo Verona,2.5790881345080323,12/13
62.99978877703634,Serie A,Fiorentina,7.000211222963654,12/13
78.40835539375135,Serie A,Juventus,8.591644606248671,12/13
68.88701188388008,Serie A,Milan,1.9778529809847951,12/13
45.191090742586894,Serie A,Bologna,-0.001901553397695953,12/13
64.03966238843567,Serie A,Roma,-2.039662388435679,12/13
68.02340533709007,Serie A,Napoli,9.976594662909932,12/13
44.91245486848133,Serie A,Sampdoria,-1.9124548684813367,12/13
59.06385557888157,Serie A,Inter,-5.063855578881581,12/13
45.77552202994568,Serie A,Torino,-5.775522029945673,12/13
52.14972527517702,Serie A,Udinese,13.850274724822976,12/13
44.66888397662303,Serie A,Palermo,-12.668883976623032,12/13
49.53853089357796,Serie A,Parma,-0.5385308935779776,12/13
29.929236292172344,Serie A,Pescara,-7.929236292172342,12/13
61.73334510404534,La Liga,Valencia CF,3.2666548959546544,12/13
44.33495560066661,La Liga,RCD Mallorca,-8.334955600666603,12/13
44.11884614713392,La Liga,CA Osasuna,-5.118846147133919,12/13
44.07798513290129,La Liga,RC Deportivo de La Coruña,-9.077985132901295,12/13
85.61742906097098,La Liga,Real Madrid CF,-0.6174290609709683,12/13
90.76331686054073,La Liga,FC Barcelona,9.236683139459274,12/13
58.23107305007515,La Liga,Sevilla FC,-8.23107305007515,12/13
43.996471398511915,La Liga,Getafe CF,3.0035286014880853,12/13
47.752791174102185,La Liga,Real Betis Balompié,8.247208825897813,12/13
44.18475861304237,La Liga,RCD Espanyol,-0.18475861304237107,12/13
